Iteracion;Delta;Distancia
802;3.1396508;2518.0
803;3.1407223;2522.0
804;3.141791;2526.0
805;3.1403728;2528.0
806;3.1414392;2532.0
807;3.140025;2534.0
808;3.1410892;2538.0
809;3.1396787;2540.0
810;3.1407406;2544.0
811;3.1418002;2548.0
812;3.140394;2550.0
813;3.1414514;2554.0
814;3.1400492;2556.0
815;3.1411042;2560.0
816;3.139706;2562.0
817;3.140759;2566.0
818;3.1418092;2570.0
819;3.1404152;2572.0
820;3.1414635;2576.0
821;3.140073;2578.0
822;3.1411192;2582.0
823;3.1397326;2584.0
824;3.1407766;2588.0
825;3.1418183;2592.0
826;3.140436;2594.0
827;3.1414752;2598.0
828;3.1400967;2600.0
829;3.1411338;2604.0
830;3.139759;2606.0
831;3.1407943;2610.0
832;3.1418269;2614.0
833;3.1404562;2616.0
834;3.141487;2620.0
835;3.1401198;2622.0
836;3.1411483;2626.0
837;3.139785;2628.0
838;3.1408114;2632.0
839;3.1394517;2634.0
840;3.1404762;2638.0
841;3.1414983;2642.0
842;3.1401424;2644.0
843;3.1411626;2648.0
844;3.1398103;2650.0
845;3.1408284;2654.0
846;3.1394799;2656.0
847;3.1404958;2660.0
848;3.1415095;2664.0
849;3.1401649;2666.0
850;3.1411765;2670.0
851;3.1398356;2672.0
852;3.140845;2676.0
853;3.1395075;2678.0
854;3.1405153;2682.0
855;3.1415205;2686.0
856;3.140187;2688.0
857;3.1411903;2692.0
858;3.1398602;2694.0
859;3.1408615;2698.0
860;3.139535;2700.0
861;3.1405342;2704.0
862;3.1415312;2708.0
863;3.1402085;2710.0
864;3.1412036;2714.0
865;3.1398845;2716.0
866;3.1408775;2720.0
867;3.1395617;2722.0
868;3.140553;2726.0
869;3.141542;2730.0
870;3.14023;2732.0
871;3.141217;2736.0
872;3.1399083;2738.0
873;3.1408935;2742.0
874;3.139588;2744.0
875;3.1405714;2748.0
876;3.1415524;2752.0
877;3.140251;2754.0
878;3.14123;2758.0
879;3.1399317;2760.0
880;3.1409092;2764.0
881;3.139614;2766.0
882;3.1405895;2770.0
883;3.141563;2774.0
884;3.1402714;2776.0
885;3.141243;2780.0
886;3.1399548;2782.0
887;3.1409245;2786.0
888;3.1396396;2788.0
889;3.1406074;2792.0
890;3.141573;2796.0
891;3.1402917;2798.0
892;3.1412556;2802.0
893;3.1399777;2804.0
894;3.1409397;2808.0
895;3.139665;2810.0
896;3.140625;2814.0
897;3.141583;2818.0
898;3.1403117;2820.0
899;3.141268;2824.0
900;3.14;2826.0
901;3.1409545;2830.0
902;3.1396897;2832.0
903;3.1406424;2836.0
904;3.141593;2840.0
905;3.1403315;2842.0
906;3.1412804;2846.0
907;3.140022;2848.0
908;3.1409693;2852.0
909;3.139714;2854.0
910;3.1406593;2858.0
911;3.1416025;2862.0
912;3.1403508;2864.0
913;3.1412923;2868.0
914;3.1400437;2870.0
915;3.1409836;2874.0
916;3.139738;2876.0
917;3.140676;2880.0
918;3.1416123;2884.0
919;3.14037;2886.0
920;3.1413043;2890.0
921;3.1400652;2892.0
922;3.140998;2896.0
923;3.1397617;2898.0
924;3.1406927;2902.0
925;3.1416216;2906.0
926;3.1403887;2908.0
927;3.1413162;2912.0
928;3.1400862;2914.0
929;3.141012;2918.0
930;3.139785;2920.0
931;3.140709;2924.0
932;3.141631;2928.0
933;3.1404073;2930.0
934;3.1413276;2934.0
935;3.140107;2936.0
936;3.1410255;2940.0
937;3.139808;2942.0
938;3.140725;2946.0
939;3.14164;2950.0
940;3.1404254;2952.0
941;3.141339;2956.0
942;3.1401274;2958.0
943;3.1410391;2962.0
944;3.1398306;2964.0
945;3.1407406;2968.0
946;3.141649;2972.0
947;3.1404436;2974.0
948;3.1413503;2978.0
949;3.1401474;2980.0
950;3.1410527;2984.0
951;3.1398528;2986.0
952;3.1407564;2990.0
953;3.1416578;2994.0
954;3.1404612;2996.0
955;3.1413612;3000.0
956;3.1401675;3002.0
957;3.1410658;3006.0
958;3.1398747;3008.0
959;3.1407716;3012.0
960;3.1416667;3016.0
961;3.1404786;3018.0
962;3.1413722;3022.0
963;3.140187;3024.0
964;3.141079;3028.0
965;3.1398964;3030.0
966;3.1407866;3034.0
967;3.139607;3036.0
968;3.1404958;3040.0
969;3.141383;3044.0
970;3.140206;3046.0
971;3.1410916;3050.0
972;3.1399176;3052.0
973;3.1408017;3056.0
974;3.1396303;3058.0
975;3.1405127;3062.0
976;3.1413934;3066.0
977;3.1402252;3068.0
978;3.1411042;3072.0
979;3.1399388;3074.0
980;3.1408162;3078.0
981;3.1396534;3080.0
982;3.1405296;3084.0
983;3.141404;3088.0
984;3.140244;3090.0
985;3.1411169;3094.0
986;3.1399593;3096.0
987;3.1408308;3100.0
988;3.139676;3102.0
989;3.140546;3106.0
990;3.1414142;3110.0
991;3.1402624;3112.0
992;3.141129;3116.0
993;3.1399798;3118.0
994;3.140845;3122.0
995;3.1396985;3124.0
996;3.1405623;3128.0
997;3.1414242;3132.0
998;3.1402805;3134.0
999;3.1411412;3138.0
1000;3.14;3140.0
1001;3.1408591;3144.0
1002;3.1397204;3146.0
1003;3.1405783;3150.0
1004;3.1414342;3154.0
1005;3.1402986;3156.0
1006;3.141153;3160.0
1007;3.14002;3162.0
1008;3.140873;3166.0
1009;3.1397424;3168.0
1010;3.140594;3172.0
1011;3.1414442;3176.0
1012;3.1403162;3178.0
1013;3.1411648;3182.0
1014;3.1400394;3184.0
1015;3.1408868;3188.0
1016;3.1397638;3190.0
1017;3.1406097;3194.0
1018;3.1414537;3198.0
1019;3.1403337;3200.0
1020;3.1411765;3204.0
1021;3.1400588;3206.0
1022;3.1409001;3210.0
1023;3.139785;3212.0
1024;3.140625;3216.0
1025;3.1414635;3220.0
1026;3.1403508;3222.0
1027;3.141188;3226.0
1028;3.1400778;3228.0
1029;3.1409135;3232.0
1030;3.1398058;3234.0
1031;3.1406403;3238.0
1032;3.1414728;3242.0
1033;3.1403677;3244.0
1034;3.141199;3248.0
1035;3.1400967;3250.0
1036;3.1409266;3254.0
1037;3.1398265;3256.0
1038;3.140655;3260.0
1039;3.141482;3264.0
1040;3.1403847;3266.0
1041;3.1412103;3270.0
1042;3.1401153;3272.0
1043;3.1409397;3276.0
1044;3.1398468;3278.0
1045;3.1406698;3282.0
1046;3.1414914;3286.0
1047;3.1404011;3288.0
1048;3.1412213;3292.0
1049;3.1401334;3294.0
1050;3.1409523;3298.0
1051;3.1398668;3300.0
1052;3.1406844;3304.0
1053;3.1415005;3308.0
1054;3.1404176;3310.0
1055;3.1412323;3314.0
1056;3.1401515;3316.0
1057;3.140965;3320.0
1058;3.1398866;3322.0
1059;3.1406987;3326.0
1060;3.1415095;3330.0
1061;3.1404335;3332.0
1062;3.141243;3336.0
1063;3.1401694;3338.0
1064;3.1409774;3342.0
1065;3.1399062;3344.0
1066;3.140713;3348.0
1067;3.1415184;3352.0
1068;3.1404495;3354.0
1069;3.1412535;3358.0
1070;3.140187;3360.0
